Id,employeenumber,WFO,WFH,Travel,Leaves,NoSwipe,month,year,is_active,CreatedBy,ModifiedBy,CreatedDate,ModifiedDate
53,33166243,18,0,0,2,3,7,2025,1,34852320,34852320,2025-07-18 14:44:05.083,2025-08-19 06:47:32.677
54,34529582,12,0,0,4,7,7,2025,1,34852320,34852320,2025-07-18 14:44:41.443,2025-08-17 11:03:52.053
55,34925699,16,0,0,0,7,7,2025,1,34852320,34852320,2025-07-18 14:45:40.613,2025-08-18 19:37:19.340
56,30344574,9,0,0,0,4,7,2025,1,34852320,34852320,2025-07-18 14:45:58.817,2025-07-18 14:45:58.927
57,32698448,15,0,0,2,6,7,2025,1,34852320,34852320,2025-07-18 15:41:58.937,2025-08-18 07:24:51.747
58,30284255,21,0,0,0,3,7,2025,1,34852320,34852320,2025-07-19 12:45:24.767,2025-08-13 21:55:51.993
59,33273699,12,1,0,4,7,7,2025,1,34852320,34852320,2025-07-21 10:25:47.050,2025-08-19 09:14:21.027
60,36049640,14,0,0,0,0,7,2025,1,34852320,34852320,2025-07-21 12:16:09.897,2025-08-13 20:47:09.760
61,34925341,16,0,0,1,7,7,2025,1,34852320,34852320,2025-07-21 12:56:27.467,2025-08-06 07:14:00.120
62,34913728,19,0,0,0,5,7,2025,1,34852320,34852320,2025-07-21 13:55:03.057,2025-08-19 11:09:05.803
63,33685575,12,0,0,3,7,7,2025,1,34852320,34852320,2025-07-21 14:32:58.423,2025-08-17 20:32:23.010
64,34210096,13,1,0,3,7,7,2025,1,34852320,34852320,2025-07-22 11:24:52.620,2025-08-18 09:27:55.400
65,34984642,18,0,0,3,2,7,2025,1,34852320,34852320,2025-07-22 13:35:34.057,2025-08-19 10:11:51.100
66,35029628,13,0,0,1,1,7,2025,1,34852320,NULL,2025-07-22 16:02:29.407,NULL
67,34463580,16,0,0,1,6,7,2025,1,34852320,34852320,2025-07-22 17:49:31.613,2025-08-19 10:16:11.633
68,33251917,15,0,0,1,7,7,2025,1,34852320,34852320,2025-07-22 21:49:00.517,2025-08-14 21:39:38.500
69,34594644,9,0,0,3,4,7,2025,1,34852320,34852320,2025-07-23 13:01:52.940,2025-07-23 13:03:33.503
70,30307285,14,0,2,0,7,7,2025,1,34852320,34852320,2025-07-23 16:15:39.157,2025-08-18 15:29:58.770
71,30231856,2,5,0,14,7,7,2025,1,34852320,34852320,2025-07-23 16:25:50.627,2025-08-11 21:12:50.690
72,35121714,13,0,0,0,4,7,2025,1,34852320,NULL,2025-07-24 09:55:02.820,NULL
73,35243897,10,0,0,4,7,7,2025,1,34852320,34852320,2025-07-24 11:04:54.930,2025-07-30 14:04:34.653
74,32674516,17,0,0,0,6,7,2025,1,34852320,34852320,2025-07-24 20:18:10.120,2025-08-19 09:24:08.620
75,35804157,16,0,0,0,7,7,2025,1,34852320,34852320,2025-07-25 08:24:09.673,2025-08-07 15:39:53.300
76,33287862,16,0,0,0,7,7,2025,1,34852320,34852320,2025-07-25 13:39:29.560,2025-08-11 21:29:59.153
77,34611821,17,0,0,1,5,7,2025,1,34852320,34852320,2025-07-25 15:12:19.820,2025-08-06 13:20:16.470
78,33904017,17,0,0,1,5,7,2025,1,34852320,34852320,2025-07-25 15:12:26.447,2025-08-01 10:23:30.613
79,30262983,16,0,0,0,7,7,2025,1,34852320,34852320,2025-07-25 15:25:43.130,2025-08-18 13:06:31.587
80,34600165,14,1,0,2,7,7,2025,1,34852320,34852320,2025-07-27 16:55:48.573,2025-08-16 18:41:25.827
81,30311332,16,0,0,1,6,7,2025,1,34852320,34852320,2025-07-28 08:53:20.327,2025-08-12 11:06:56.817
82,34593592,12,0,0,2,5,7,2025,1,34852320,NULL,2025-07-28 10:48:02.787,NULL
83,34755809,14,1,0,2,7,7,2025,1,34852320,34852320,2025-07-28 13:34:53.470,2025-08-16 16:56:17.980
84,33146836,15,1,0,1,7,7,2025,1,34852320,34852320,2025-07-28 15:00:49.410,2025-08-11 18:19:31.590
85,34037603,13,0,0,2,4,7,2025,1,34852320,NULL,2025-07-28 18:21:56.773,NULL
86,30227497,13,0,5,0,6,7,2025,1,34852320,34852320,2025-07-28 21:19:10.980,2025-08-13 15:07:09.197
87,30250184,16,0,0,0,5,7,2025,1,34852320,NULL,2025-07-29 14:46:13.057,NULL
88,35413597,17,0,0,2,3,7,2025,1,34852320,34852320,2025-07-29 14:51:03.003,2025-08-18 13:31:43.963
89,35546310,20,0,0,0,1,7,2025,1,34852320,NULL,2025-07-29 14:59:23.537,NULL
90,34668770,16,0,0,3,2,7,2025,1,34852320,34852320,2025-07-29 17:18:15.630,2025-07-29 17:18:23.477
91,34550370,13,2,0,3,7,7,2025,1,34852320,34852320,2025-07-29 19:39:41.700,2025-08-13 22:18:55.710
92,31548415,15,0,0,1,7,7,2025,1,34852320,34852320,2025-07-30 09:39:06.093,2025-08-19 11:37:53.997
93,35490726,15,0,0,1,7,7,2025,1,34852320,34852320,2025-07-30 14:03:09.470,2025-08-18 09:39:39.753
94,35076808,18,0,0,2,3,7,2025,1,34852320,34852320,2025-07-30 14:32:12.600,2025-08-05 12:19:08.787
95,35375414,23,0,0,0,0,7,2025,1,34852320,34852320,2025-07-31 13:39:43.510,2025-08-18 22:39:43.467
96,34907030,13,1,0,3,7,7,2025,1,34852320,34852320,2025-07-31 15:00:56.857,2025-08-18 07:44:29.013
97,35419243,11,0,20,0,0,7,2025,1,34852320,34852320,2025-08-01 08:49:19.767,2025-08-01 10:00:37.223
98,35584215,16,0,0,0,7,7,2025,1,34852320,34852320,2025-08-01 08:49:27.563,2025-08-13 13:35:02.367
99,35829256,17,0,0,0,6,7,2025,1,34852320,34852320,2025-08-01 08:49:38.987,2025-08-19 10:53:13.417
100,28400917,0,0,0,0,23,7,2025,1,34852320,34852320,2025-08-01 08:49:57.693,2025-08-01 08:49:57.833
101,34939648,16,0,0,0,7,7,2025,1,34852320,34852320,2025-08-01 08:50:07.993,2025-08-01 08:50:08.070
102,30284095,11,0,0,5,7,7,2025,1,34852320,34852320,2025-08-01 08:50:20.103,2025-08-06 19:55:40.327
103,30269334,16,0,0,1,6,7,2025,1,34852320,34852320,2025-08-01 08:51:38.337,2025-08-12 08:41:59.950
104,35802765,17,0,0,2,4,7,2025,1,34852320,34852320,2025-08-01 08:51:50.650,2025-08-08 11:50:42.797
105,35235192,7,5,0,9,7,7,2025,1,34852320,34852320,2025-08-01 08:52:12.293,2025-08-01 08:53:24.537
106,34529831,16,0,0,0,7,7,2025,1,34852320,34852320,2025-08-01 08:52:22.280,2025-08-19 09:16:09.760
107,35026925,19,0,0,0,4,7,2025,1,34852320,34852320,2025-08-01 08:52:42.233,2025-08-18 09:09:22.817
108,35424326,12,0,13,0,2,7,2025,1,34852320,34852320,2025-08-01 08:52:42.500,2025-08-16 10:33:44.563
109,32778600,18,0,0,0,5,7,2025,1,34852320,34852320,2025-08-01 08:53:05.770,2025-08-17 11:58:25.460
110,33976485,9,5,0,7,7,7,2025,1,34852320,34852320,2025-08-01 08:53:30.753,2025-08-19 10:33:41.557
111,36060163,5,0,0,0,2,7,2025,1,34852320,34852320,2025-08-01 08:53:42.210,2025-08-01 08:53:44.710
112,30224445,21,0,0,2,0,7,2025,1,34852320,34852320,2025-08-01 08:53:46.367,2025-08-01 12:53:44.757
113,31335877,14,0,0,2,7,7,2025,1,34852320,34852320,2025-08-01 08:53:50.493,2025-08-18 11:26:01.977
114,31264444,16,0,0,2,5,7,2025,1,34852320,34852320,2025-08-01 08:53:59.040,2025-08-17 20:46:03.837
115,35349550,11,2,0,5,7,7,2025,1,34852320,34852320,2025-08-01 08:54:01.523,2025-08-18 15:47:14.580
116,34714202,16,0,0,0,7,7,2025,1,34852320,34852320,2025-08-01 08:54:07.417,2025-08-18 10:42:51.787
117,32656778,14,0,0,3,6,7,2025,1,34852320,34852320,2025-08-01 08:54:10.717,2025-08-17 12:42:49.437
118,34985927,20,0,0,1,4,7,2025,1,34852320,34852320,2025-08-01 08:54:13.280,2025-08-01 08:54:13.373
119,31036637,16,0,0,0,7,7,2025,1,34852320,34852320,2025-08-01 08:54:22.407,2025-08-06 12:16:33.447
120,32710674,12,2,0,4,7,7,2025,1,34852320,34852320,2025-08-01 08:54:22.860,2025-08-01 08:54:22.937
121,30257285,14,1,0,2,7,7,2025,1,34852320,34852320,2025-08-01 08:54:35.580,2025-08-01 08:54:35.657
122,34516845,23,0,0,0,0,7,2025,1,34852320,34852320,2025-08-01 08:55:00.973,2025-08-11 11:34:05.113
123,35124178,8,0,0,8,7,7,2025,1,34852320,34852320,2025-08-01 08:55:06.163,2025-08-01 11:48:50.033
124,34550352,9,5,0,7,7,7,2025,1,34852320,34852320,2025-08-01 08:55:10.647,2025-08-17 19:42:16.037
125,30306295,14,1,0,2,7,7,2025,1,34852320,34852320,2025-08-01 08:55:28.273,2025-08-18 13:35:26.970
126,35014938,15,0,0,1,7,7,2025,1,34852320,34852320,2025-08-01 08:55:45.167,2025-08-01 08:55:54.263
127,28400948,0,0,0,0,23,7,2025,1,34852320,34852320,2025-08-01 08:56:05.373,2025-08-01 12:12:07.663
128,34674594,15,0,0,1,7,7,2025,1,34852320,34852320,2025-08-01 08:56:06.653,2025-08-17 22:04:48.310
129,34745919,17,0,0,2,4,7,2025,1,34852320,34852320,2025-08-01 08:56:15.500,2025-08-18 09:47:12.683
130,34983046,14,0,0,2,7,7,2025,1,34852320,34852320,2025-08-01 08:56:17.953,2025-08-01 08:56:18.047
131,34628975,16,0,0,0,7,7,2025,1,34852320,34852320,2025-08-01 08:56:24.237,2025-08-19 08:01:28.907
132,34999404,17,0,0,0,6,7,2025,1,34852320,34852320,2025-08-01 08:56:34.470,2025-08-19 10:30:49.203
133,35584661,24,0,0,0,0,7,2025,1,34852320,34852320,2025-08-01 08:57:27.420,2025-08-05 21:57:43.397
134,31219583,12,2,0,4,7,7,2025,1,34852320,34852320,2025-08-01 08:57:46.890,2025-08-19 11:18:09.630
135,30274881,17,0,0,1,5,7,2025,1,34852320,34852320,2025-08-01 08:58:00.830,2025-08-18 10:19:36.283
136,30227549,15,0,0,3,4,7,2025,1,34852320,34852320,2025-08-01 08:58:01.250,2025-08-19 08:46:26.497
137,35005298,9,0,13,2,1,7,2025,1,34852320,34852320,2025-08-01 08:58:07.317,2025-08-05 08:34:15.627
138,31287465,16,0,0,1,6,7,2025,1,34852320,34852320,2025-08-01 08:59:22.047,2025-08-04 21:19:23.387
139,30394047,20,0,0,0,3,7,2025,1,34852320,34852320,2025-08-01 08:59:36.970,2025-08-04 07:54:28.610
140,30351930,14,0,0,2,7,7,2025,1,34852320,34852320,2025-08-01 09:00:00.033,2025-08-12 11:46:01.620
141,34268499,12,1,0,4,7,7,2025,1,34852320,34852320,2025-08-01 09:00:00.910,2025-08-19 09:15:35.473
142,35535723,14,0,0,2,7,7,2025,1,34852320,34852320,2025-08-01 09:00:43.373,2025-08-01 09:00:43.450
143,34936632,8,11,0,0,4,7,2025,1,34852320,34852320,2025-08-01 09:00:59.390,2025-08-18 21:03:48.437
144,34802223,12,0,0,4,7,7,2025,1,34852320,34852320,2025-08-01 09:01:15.440,2025-08-11 14:03:50.933
145,35622950,19,0,0,2,2,7,2025,1,34852320,34852320,2025-08-01 09:01:34.237,2025-08-03 18:15:37.537
146,33233652,15,0,0,1,9,7,2025,1,34852320,34852320,2025-08-01 09:02:02.400,2025-08-07 16:17:13.660
147,35805245,14,0,1,2,7,7,2025,1,34852320,34852320,2025-08-01 09:02:20.290,2025-08-19 11:22:30.960
148,34996988,15,0,0,2,6,7,2025,1,34852320,34852320,2025-08-01 09:02:23.307,2025-08-01 09:02:23.370
149,34462992,18,0,0,1,4,7,2025,1,34852320,34852320,2025-08-01 09:03:01.920,2025-08-01 09:03:18.127
150,35561203,19,0,0,2,2,7,2025,1,34852320,NULL,2025-08-01 09:03:07.140,NULL
151,35546123,13,1,0,3,7,7,2025,1,34852320,34852320,2025-08-01 09:03:15.563,2025-08-18 14:48:00.820
152,35202609,14,0,0,2,8,7,2025,1,34852320,34852320,2025-08-01 09:03:26.393,2025-08-19 11:48:05.457
153,35105901,15,1,0,3,5,7,2025,1,34852320,34852320,2025-08-01 09:03:42.600,2025-08-19 07:30:09.840
154,30298801,17,0,0,2,4,7,2025,1,34852320,34852320,2025-08-01 09:03:51.990,2025-08-12 14:14:20.053
155,34096745,17,0,0,0,6,7,2025,1,34852320,34852320,2025-08-01 09:03:58.460,2025-08-01 09:15:08.053
